component,category,css_variable,fallback_value,raw_fallback
nys-toggle,private,--_nys-toggle-icon-font-size-xs,--nys-font-size-body-xs,var(--nys-font-size-xs
nys-toggle,private,--_nys-toggle-icon-font-size-sm,--nys-font-size-body-sm,var(--nys-font-size-sm
nys-toggle,private,--_nys-toggle-width,--nys-toggle-font-size-6xl,36px
nys-toggle,private,--_nys-toggle-height,--nys-toggle-size-250,20px
nys-toggle,private,--_nys-toggle-slider-diameter,--nys-toggle--font-size-md,16px
nys-toggle,private,--_nys-toggle-icon-font-size,--nys-toggle-font-size-sm,14px
nys-toggle,private,--_nys-toggle-gap,--nys-space-100,8px
nys-toggle,private,--_nys-toggle-width,--nys-toggle-font-size-8xl,44px
nys-toggle,private,--_nys-toggle-height,--nys-toggle-size-300,24px
nys-toggle,private,--_nys-toggle-slider-diameter,--nys-toggle-font-size-xl,20px
nys-toggle,private,--_nys-toggle-icon-font-size,--nys-toggle-font-size-md,16px
nys-tooltip,private,--_nys-tooltip-color,--nys-color-text-reverse,#ffffff
nys-tooltip,private,--_nys-tooltip-background,--nys-color-ink,#1b1b1b
nys-tooltip,private,--_nys-tooltip-border-radius,--nys-radius-md,4px
nys-tooltip,private,--_nys-tooltip-font-family,--nys-font-family-ui,"var(
        --nys-font-family-sans"
nys-tooltip,private,--_nys-tooltip-font-size,--nys-type-size-ui-sm,14px
nys-tooltip,private,--_nys-tooltip-letterspacing,--nys-font-letterspacing-ui-sm,0.044px
nys-tooltip,private,--_nys-tooltip-lineheight,--nys-font-lineheight-ui-sm,24px
nys-tooltip,private,--_nys-tooltip-color,--nys-color-text,#1b1b1b
nys-tooltip,private,--_nys-tooltip-background,--nys-color-ink-reverse,#fff
nys-unavfooter,private,--_nys-unavfooter-link-color,--nys-color-link-reverse-neutral,var(--nys-color-white
nys-unavfooter,private,--_nys-unavfooter-background,--nys-color-surface-reverse,var(--nys-color-neutral-900
nys-unavfooter,private,--_nys-unavfooter-gap-spacing,--nys-space-200,16px
nys-unavfooter,private,--_nys-unavfooter-padding,--nys-space-250,20px
nys-unavfooter,private,--_nys-unavfooter-gutter,--nys-gutter-sm,20px
nys-unavfooter,private,--_nys-unavfooter-font-size,--nys-font-size-agency-xl,var(--nys-font-size-2xl
nys-unavfooter,private,--_nys-unavfooter-font-size-links,--nys-font-size-body-md,var(--nys-font-size-md
nys-unavfooter,private,--_nys-unavfooter-font-weight-semibold,--nys-font-weight-semibold,600
nys-unavfooter,private,--_nys-unavfooter-content-max-width,--nys-max-content-width,1280px
nys-unavfooter,private,--_nys-unavfooter-link-gap-spacing-row,--nys-space-250,20px
nys-unavfooter,private,--_nys-unavfooter-link-gap-spacing-column,--nys-space-600,48px
nys-unavfooter,private,--_nys-unavfooter-link-lineheight,--nys-font-lineheight-ui-md,24px
nys-unavfooter,private,--_nys-unavfooter-link-letterspacing,--nys-font-letterspacing-ui-md,var(--nys-font-letterspacing-400
nys-unavfooter,private,--_nys-unavfooter-font-family,--nys-font-family-ui,"var(
        --nys-font-family-sans"
nys-unavfooter,private,--_nys-unavfooter-link-weight-decoration,--nys-size-2px,2px
nys-unavfooter,private,--_nys-unavfooter-gutter,--nys-gutter-lg,32px
nys-unavfooter,private,--_nys-unavfooter-link-gap-spacing-column,--nys-space-600,48px
nys-unavfooter,private,--_nys-unavfooter-gap-spacing,--nys-space-800,64px
nys-unavfooter,private,--_nys-unavfooter-gutter,--nys-gutter-xl,64px
nys-unavheader,private,--_nys-unavheader-gutter,--nys-gutter-xs,20px
nys-unavheader,private,--_nys-unavheader-bg-color,--nys-color-surface,var(--nys-color-white
nys-unavheader,private,--_nys-unavheader-text-color,--nys-color-text,var(--nys-color-neutral-900
nys-unavheader,private,--_nys-unavheader-surface-raised-color,--nys-color-surface-raised,var(--nys-color-neutral-10
nys-unavheader,private,--_nys-button-color-text,--nys-color-state-blue-700,#154973
nys-unavheader,private,--_nys-button-color-text-hover,--nys-color-state-blue-700,#154973
nys-unavheader,private,--_nys-button-color-text-active,--nys-color-state-blue-700,#154973
nys-unavheader,private,--_nys-button-width,--nys-size-400,32px
nys-unavheader,private,--_nys-button-height,--nys-size-400,32px
nys-unavheader,private,--_nys-button-padding-y,,
nys-unavheader,private,--_nys-button-padding-x,,
nys-unavheader,private,--_nys-button-height,--nys-font-lineheight-ui-xs,20px
nys-unavheader,private,--_nys-button-radius,--nys-radius-md,4px
nys-unavheader,private,--_nys-button-padding-y,--nys-space-2px,2px
nys-unavheader,private,--_nys-button-padding-x,--nys-space-50,4px
nys-unavheader,private,--_nys-button-width-border,,
nys-unavheader,private,--_nys-button-text-decoration,,
nys-unavheader,private,--_nys-button-color-text,--nys-color-link,#004dd1
nys-unavheader,private,--_nys-button-color-text-hover,--nys-color-link-strong,#003ba1
nys-unavheader,private,--_nys-button-color-text-active,--nys-color-link-strongest,#002971
nys-unavheader,private,--_nys-button-color-bg-hover,--nys-color-transparent,#ffffff00
nys-unavheader,private,--_nys-button-color-bg-active,--nys-color-transparent,#ffffff00
nys-unavheader,private,--_nys-button-font-size,--nys-font-size-ui-xs,12px
nys-unavheader,private,--_nys-button-font-weight,--nys-font-weight-regular,400
nys-unavheader,private,--_nys-button-line-height,--nys-font-lineheight-ui-xs,20px
nys-unavheader,private,--_nys-button-font-family,--nys-font-family-ui,"var(
        --nys-font-family-sans"
nys-unavheader,private,--_nys-unavheader-gutter,--nys-gutter-xs,20px
nys-unavheader,private,--_nys-button-padding-x,,
nys-unavheader,private,--_nys-button-padding-y,,
nys-unavheader,private,--_nys-unavheader-gutter,--nys-gutter-sm,20px
nys-unavheader,private,--_nys-unavheader-gutter,--nys-gutter-md,32px
nys-unavheader,private,--_nys-unavheader-gutter,--nys-gutter-lg,32px
nys-unavheader,private,--_nys-unavheader-gutter,--nys-gutter-xl,64px
